,date_x,compound,positive,negative,neutral,binary score,new score,price,change
52,2021-06-11,0.3955,0.10733333333333334,0.042333333333333334,0.8503333333333334,0.6666666666666666,1,41.2059607,-0.02071626570371332
53,2021-06-12,-0.4086,0.028,0.058,0.913,0.0,0,36.09038097,-0.12414659537351835
54,2021-06-13,0.8516,0.127,0.0,0.873,1.0,1,36.56837527,0.013244368365003645
55,2021-06-14,0.32135,0.09,0.0215,0.8885000000000001,0.5,1,38.8203861,0.061583562665074476
56,2021-06-15,0.19923333333333335,0.073,0.0,0.927,0.3333333333333333,0,39.6440578,0.021217504068049342
57,2021-06-16,0.30204285714285717,0.09142857142857143,0.0,0.9085714285714286,0.14285714285714285,0,39.69949998,0.0013984991213487064
58,2021-06-17,0.1813142857142857,0.08114285714285716,0.018714285714285715,0.9001428571428571,0.42857142857142855,0,39.54766089,-0.003824710388707464
59,2021-06-18,0.4101375,0.12375,0.018500000000000003,0.8576250000000002,0.625,1,39.32721785,-0.0055741107069052775
60,2021-06-19,0.60895,0.12025,0.011,0.869,1.0,1,36.62410257,-0.06873395647538794
61,2021-06-20,0.6597,0.069,0.0,0.931,0.0,0,35.26048478,-0.03723279737418017
62,2021-06-22,0.36769999999999997,0.08266666666666667,0.0,0.9173333333333334,0.3333333333333333,0,26.59538137,-0.24574544179026458
63,2021-06-23,0.06713333333333334,0.0675,0.044500000000000005,0.8878333333333334,0.3333333333333333,0,26.72920147,0.0050317044955390244
64,2021-06-24,0.32070000000000004,0.11244444444444444,0.009000000000000001,0.8785555555555555,0.6666666666666666,1,30.87900373,0.15525350671839577
65,2021-06-25,0.08333333333333333,0.034999999999999996,0.031,0.934,0.3333333333333333,0,31.44053281,0.018184818555349258
66,2021-06-26,0.4063,0.0695,0.015,0.9155,0.5,1,29.23725923,-0.07007748861365437
67,2021-06-27,0.44504999999999995,0.1275,0.0125,0.8600000000000001,0.5,1,29.37477622,0.004703484308094641
68,2021-06-28,0.3818,0.065,0.0,0.935,0.0,0,31.67466281,0.07829460802612376
69,2021-06-29,0.44903333333333334,0.10533333333333333,0.0,0.8946666666666667,0.6666666666666666,1,33.11418087,0.04544698924294566
70,2021-06-30,0.541,0.07866666666666668,0.011333333333333334,0.91,0.3333333333333333,0,33.92293268,0.024423125946403834
71,2021-07-01,0.15613333333333337,0.112,0.08433333333333333,0.8036666666666666,0.6666666666666666,1,35.83440252,0.05634742308488394
72,2021-07-02,0.14603333333333332,0.054,0.017333333333333333,0.9289999999999999,0.3333333333333333,0,33.55617113,-0.06357665343320462
73,2021-07-04,-0.0516,0.054,0.044,0.902,0.0,0,34.46550621,0.02709889267393306
74,2021-07-05,0.4019,0.184,0.0,0.816,1.0,1,34.44884875,-0.00048330814868935423
75,2021-07-06,0.10976000000000001,0.08259999999999999,0.047200000000000006,0.8701000000000001,0.3,0,33.12005545,-0.038572937796651385
76,2021-07-07,0.20485,0.04875,0.01825,0.9329999999999999,0.25,0,34.29123767,0.03536172280170491
77,2021-07-08,0.7003,0.293,0.0,0.707,1.0,1,36.65727454,0.068998293172426
78,2021-07-09,0.1953,0.02766666666666667,0.0,0.9723333333333333,0.0,0,33.5141439,-0.0857437078845088
79,2021-07-12,0.40515,0.09,0.0095,0.9005,0.5,1,32.12329224,-0.041500438267199846
80,2021-07-13,-0.25,0.073,0.114,0.813,0.0,0,30.95347403,-0.03641651052638184
81,2021-07-14,0.2640142857142857,0.054714285714285715,0.002857142857142857,0.9424285714285714,0.14285714285714285,0,29.16206823,-0.05787414356991971
82,2021-07-15,0.16196666666666668,0.08366666666666667,0.06733333333333334,0.8489999999999999,0.0,0,31.23600102,0.07111747951630121
83,2021-07-16,0.1779,0.062,0.051,0.887,0.0,0,28.32353743,-0.09324060362705167
84,2021-07-18,0.4019,0.052,0.0,0.948,0.0,0,26.79168755,-0.05408398875973308
85,2021-07-19,-0.09505,0.125,0.10500000000000001,0.77,0.5,1,26.89393895,0.0038165345056810906
86,2021-07-20,0.315875,0.143375,0.047625,0.809125,0.75,1,24.81620054,-0.0772567534217593
87,2021-07-21,-0.3818,0.0,0.035,0.965,0.0,0,23.8584461,-0.03859391926077671
88,2021-07-22,-0.019250000000000017,0.062,0.034,0.904,0.5,1,26.67239697,0.1179435935687363
89,2021-07-23,0.5154333333333333,0.1436666666666667,0.0,0.8563333333333333,0.6666666666666666,1,27.76297804,0.04088800385007163
90,2021-07-26,0.478875,0.0965,0.02175,0.8820000000000001,0.25,0,28.31881777,0.020020897225044187
91,2021-07-27,0.06267777777777778,0.05277777777777778,0.029666666666666668,0.9175555555555555,0.2222222222222222,0,28.09669795,-0.007843541414899957
92,2021-07-28,0.3658333333333333,0.12066666666666666,0.028999999999999998,0.8503333333333334,0.6666666666666666,1,27.95113101,-0.005180926963696764
93,2021-07-29,0.34,0.082,0.0,0.918,0.0,0,27.87180125,-0.0028381592133648326
94,2021-07-30,0.5357875000000001,0.1685,0.0,0.8315,0.75,1,31.41657633,0.1271814135083933
95,2021-08-01,0.21619999999999998,0.021666666666666667,0.0,0.9783333333333334,0.0,0,36.24876036,0.15381001351779044
96,2021-08-02,0.8555,0.256,0.054,0.69,1.0,1,34.17251167,-0.05727778465746136
97,2021-08-04,-0.1027,0.078,0.089,0.833,0.0,0,34.34012027,0.004904778484490002
98,2021-08-05,0.094025,0.029249999999999998,0.01925,0.9515,0.0,0,35.9054826,0.04558406661631653
99,2021-08-07,0.6249,0.149,0.045,0.806,1.0,1,39.53990292,0.101221876349324
100,2021-08-09,0.6018,0.20750000000000002,0.0,0.7925,0.5,1,37.66581962,-0.047397266093237134
101,2021-08-10,0.6144,0.14100000000000001,0.008333333333333333,0.8506666666666667,0.6666666666666666,1,38.76250121,0.029116095204196224
102,2021-08-11,0.11315,0.0355,0.0,0.9645,0.0,0,40.66298981,0.049029049743304576
103,2021-08-12,0.6978,0.1055,0.0,0.8945,0.5,1,41.79949265,0.027949318171397897
104,2021-08-13,0.25881666666666664,0.06899999999999999,0.032,0.899,0.3333333333333333,0,41.19014957,-0.014577762584398135
105,2021-08-14,0.5390666666666667,0.133,0.016999999999999998,0.85,0.6666666666666666,1,44.69284014,0.0850370927652837
106,2021-08-15,-0.028159999999999998,0.0454,0.0382,0.9162000000000001,0.2,0,44.06280237,-0.014097062706832086
107,2021-08-16,0.3313062499999999,0.07834375000000002,0.0114375,0.9102812499999999,0.375,0,53.67834816,0.21822365516512643
